Abominable,Static,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage.",,,,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage."
Absorb Force,Scene -  Free Action,The user takes damage as if the attack was one step less effective.,The user is damaged by a Physical Attack,,,"Trigger - The user is damaged by a Physical Attack The user takes damage as if the attack was one step less effective."
Adaptability,Static,Increase the Damage of all Moves with which the user shares an Elemental Type by +1 Damage Base.,,,,Increase the Damage of all Moves with which the user shares an Elemental Type by +1 Damage Base.
Aerilate,At Will -  Free Action,The Move is Changed to Flying Type.,The User uses a Normal Type Damaging Move.,,,"Trigger - The User uses a Normal Type Damaging Move. The Move is Changed to Flying Type."
Aftermath,Scene -  Free Action,"When the user is reduced to 0 HP or less, they create a Burst 1. Everything in the Burst loses ¼ of its Max Hit Points.",,,,"When the user is reduced to 0 HP or less, they create a Burst 1. Everything in the Burst loses ¼ of its Max Hit Points."
Air Lock,Scene -  Free Action,The weather is set to Normal as long as the Pokémon with Air Lock wants it to remain that way. The user may continue to sustain this effect as a Swift Action each round.,,,,The weather is set to Normal as long as the Pokémon with Air Lock wants it to remain that way. The user may continue to sustain this effect as a Swift Action each round.
Ambush,Scene -  Free Action,"The user may use a Melee Move with a Damage Base of 6 (before applying STAB or other modifiers) or lower as if it had the Priority keyword. If it hits, the target is Flinched.",,,,"The user may use a Melee Move with a Damage Base of 6 (before applying STAB or other modifiers) or lower as if it had the Priority keyword. If it hits, the target is Flinched."
Analytic,Static,"Whenever the user targets uses a damaging Move on a Pokémon or Trainer that have acted before it during Initiative this Round, that Move deals an additional +5 Damage.",,,,"Whenever the user targets uses a damaging Move on a Pokémon or Trainer that have acted before it during Initiative this Round, that Move deals an additional +5 Damage."
Anger Point,At-Will - Free Action,"When the Pokémon receives a Critical Hit, they become Enraged and gain +6 Attack Combat Stages.",,,,"When the Pokémon receives a Critical Hit, they become Enraged and gain +6 Attack Combat Stages."
Anticipation,At-Will - Swift Action,"The target reveals if they have any Moves that are Super-Effective against the Pokémon with Anticipation. You may not target a Pokémon or Trainer more than once per encounter with Anticipation. Anticipation only reveals whether the opponent does or does not have those moves, not the specific moves themselves.",,Pokémon or Trainers,,"Target - Pokémon or Trainers The target reveals if they have any Moves that are Super-Effective against the Pokémon with Anticipation. You may not target a Pokémon or Trainer more than once per encounter with Anticipation. Anticipation only reveals whether the opponent does or does not have those moves, not the specific moves themselves."
Aqua Boost,At-Will - Free Action,The allied target gains a +5 Bonus to its damage roll with the triggering Move.  A target may not benefit from more than one instance of Aqua Boost at a time.  ,An adjacent Ally uses a Water-Type Move,,,"Trigger - An adjacent Ally uses a Water-Type Move The allied target gains a +5 Bonus to its damage roll with the triggering Move.  A target may not benefit from more than one instance of Aqua Boost at a time.  "
Arena Trap,Scene -  Free Action,"Once Arena trap is activated, all foes within 5 meters of the user are considered Slowed. This does not affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the effect as a Free Action, and the effect ends if the user is fainted or returned to a Poké Ball.",,Pokémon or Trainers,,"Target - Pokémon or Trainers Once Arena trap is activated, all foes within 5 meters of the user are considered Slowed. This does not affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the effect as a Free Action, and the effect ends if the user is fainted or returned to a Poké Ball."
Aroma Veil,Static,"The user and all Pokémon and Trainers within 3 meters cannot be Confused, Enraged, or Suppressed. Defensive.",,,,"The user and all Pokémon and Trainers within 3 meters cannot be Confused, Enraged, or Suppressed. Defensive."
Aura Break,Static,Foes may not benefit from Abilities that increase the Combat Stages or damage dealt by themselvs or their allies.,,,,Foes may not benefit from Abilities that increase the Combat Stages or damage dealt by themselvs or their allies.
Aura Storm,Static,"For each injury the user has, they gain a +3 Damage bonus to all Moves with the Aura keyword. Additionally, while the user is at or under ½ of their Max Hit Points, they gain a +3 Damage Bonus to all Moves with the Aura Keyword.",,,,"For each injury the user has, they gain a +3 Damage bonus to all Moves with the Aura keyword. Additionally, while the user is at or under ½ of their Max Hit Points, they gain a +3 Damage Bonus to all Moves with the Aura Keyword."
Bad Dreams,Static,"At the beginning of the user’s turn, all Sleeping Pokémon or Trainers in a Burst 5 lose a Tick of Hit Points.",,,,"At the beginning of the user’s turn, all Sleeping Pokémon or Trainers in a Burst 5 lose a Tick of Hit Points."
Battle Armor,Static,The user is immune to Critical Hits; they are instead normal hits. Defensive.,,,,The user is immune to Critical Hits; they are instead normal hits. Defensive.
Beam Cannon,Static,"The Effect Range and Critical Hit Range of the user's Ranged, 1-Target Moves are increased by 3.",,,,"The Effect Range and Critical Hit Range of the user's Ranged, 1-Target Moves are increased by 3."
Beautiful,Scene - Swift Action,"The user may activate Beautiful to either grain +2 Beauty DIce in a Contest, or to cure any adjacent targets of the Enraged Condition.",,,,"The user may activate Beautiful to either grain +2 Beauty DIce in a Contest, or to cure any adjacent targets of the Enraged Condition."
Berry Storage,Daily – Extended Action,The user gains 3 instances of the Berry’s Digestion/Food Buff instead of 1. It may only trade in one of these Digestion/Food Buffs each Scene. Neither storing nor trading in these Digestion/Food Buffs counts against the user’s normal limits. All Digestion/Food Buffs gained from Berry Storage are lost after an Extended Rest.,The user eats a Berry,,,"Trigger - The user eats a Berry The user gains 3 instances of the Berry’s Digestion/Food Buff instead of 1. It may only trade in one of these Digestion/Food Buffs each Scene. Neither storing nor trading in these Digestion/Food Buffs counts against the user’s normal limits. All Digestion/Food Buffs gained from Berry Storage are lost after an Extended Rest."
Big Pecks,Static,The user cannot have its Defense Stat lowered. The user cannot have its Defense Combat Stages lowered. Defensive.,,,,The user cannot have its Defense Stat lowered. The user cannot have its Defense Combat Stages lowered. Defensive.
Big Swallow,Static,"Connection - Stockpile. Whenever the user uses Swallow or Spit Up, it may treat the Stockpile Count as if it was one higher. This Ability has no effect if the Stockpile Counter is already 3.",,,,"Connection - Stockpile. Whenever the user uses Swallow or Spit Up, it may treat the Stockpile Count as if it was one higher. This Ability has no effect if the Stockpile Counter is already 3."
Blaze,Static,The user gains Last Chance with Fire.,,,Last Chance,"Keywords - Last Chance The user gains Last Chance with Fire."
