Attack Order,Physical,Bug,9,EOT,2,"6, 1 Target",Attack Order is a Critical Hit on 18+.
Bug Bite,Physical,Bug,6,At-Will,2,"Melee, 1 Target","If the target has a stored Digestion/Food Buff or has traded in a Digestion/Food Buff this Scene, the user may gain the effects of the Digestion/Food Buff. This does no count towards the Usual limit on the user's Digestion/Food Buffs."
Bug Buzz,Special,Bug,9,Scene x2,2,"Cone 2 or Close Blast 2; Sonic, Smite",Bug Buzz lowers the Special Defense of all legal targets by -1 CS on 19+.
Defend Order,Status,Bug,--,EOT,--,Self,Raise the user's Defense and Special Defense by +1 CS each.
Fell Stinger,Physical,Bug,3,At-Will,2,"Melee, 1 Target","If the user successfully knocks out the target with Fell Stinger, raise the user's Attack by +2 CS."
Fell Stinger [SM],Physical,Bug,5,At-Will,2,"Melee, 1 Target","If the user successfully knocks out the target with Fell Stinger, raise the user's Attack by +2 CS."
First Impression,Physical,Bug,9,EOT,2,"Melee, 1 Target, Priority","You may only use First Impression with Priority upon joining an encounter; if you do, First Impression Flinches the target. Switching out resets the requirement of joining an encounter. ."
Fury Cutter,Physical,Bug,4,At-Will,3,"Melee, 1 Target","If Fury Cutter is used successfully and consecutively on the same target, the Damage Base is increased by +4; the first hit has a DB of 4; the second hit a DB of 8, the third hit a DB of 12, and the fourth and all further hits have a DB of 16. If Fury Cutter misses or fails to damage its target, its Damage Base resets."
Heal Order,Status,Bug,--,Daily x2,--,Self,The user regains HP equal to half of its full HP.
Infestation,Special,Bug,4,Scene x2,4,"3, 1 Target",The target is put in a Vortex.
Leech Life,Physical,Bug,2,At-Will,2,"Melee, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target."
Leech Life [SM],Physical,Bug,8,Scene x2,2,"Melee, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target."
Lunge,Physical,Bug,8,EOT,2,"Melee, 1 Target","Lunge may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, Lunge's target receives a -5 penalty to damage rolls for 1 round."
Megahorn,Physical,Bug,12,Scene x2,5,"Melee, 1 Target, Push",The target is Pushed 1 meter.
Pin Missile,Physical,Bug,3,EOT,4,"6, 1 Target, Five Strike",--
Pollen Puff,Special,Bug,9,EOT,2,"6, 1 Target","Once per Scene, Pollen Puff may instead be used on an ally; when used this way, the target recovers 1/2 of their maximum Hit Points and the Move has the Healing keyword."
