Abomasnow,9,9,8,9,9,6,Grass,Ice,5,0,3,0,0,1,1,6,Grassland; Forest; Tundra,Chilled,Freezer,-,-,-,-,-,-,-
Abra,3,2,2,11,6,9,Psychic,None,3,0,1,0,0,1,1,1,Forest; Urban,Teleporter 2,Telepath,Telekinetic,Underdog,-,-,-,-,-
Absol,7,13,6,8,6,8,Dark,None,7,0,4,0,0,2,2,3,Grassland; Forest,Darkvision,Stealth,Tracker,-,-,-,-,-,-
Accelgor,8,7,4,10,6,15,Bug,None,8,0,6,0,0,2,3,3,Forest,-,-,-,-,-,-,-,-,-
Aegislash,6,5,15,5,15,6,Ghost,Steel,1,0,2,6,0,1,2,5,-,Phasing,Invisibility,Dead Silent,Living Weapon,-,-,-,-,-
Aerodactyl,8,11,7,6,8,13,Rock,Flying,4,10,3,0,0,2,3,8,-,Mountable 1,-,-,-,-,-,-,-,-
Aggron,7,11,18,6,6,5,Steel,Rock,6,0,3,0,0,0,1,13,Cave,-,-,-,-,-,-,-,-,-
Aipom,6,7,6,4,6,9,Normal,None,7,0,4,0,0,2,2,2,Forest,Underdog,-,-,-,-,-,-,-,-
Alakazam,6,5,5,14,9,12,Psychic,None,6,0,3,0,0,2,1,4,Forest; Urban,Teleporter 3,Telekinetic,Telepath,-,-,-,-,-,-
Alomomola,17,8,8,4,5,7,Water,None,1,0,6,0,0,2,3,5,Ocean,Fountain,-,-,-,-,-,-,-,-
Altaria,8,7,9,7,11,8,Dragon,Flying,3,6,2,0,0,2,2,4,-,Guster,-,-,-,-,-,-,-,-
Amaura,8,6,5,7,6,5,Rock,Ice,5,0,3,0,0,1,1,2,Tundra,Chilled,Freezer,Underdog,-,-,-,-,-,-
Ambipom,8,10,7,6,7,12,Normal,None,7,0,4,0,0,3,4,4,Forest,-,-,-,-,-,-,-,-,-
Amoonguss,11,9,7,9,8,3,Grass,Poison,5,0,1,0,0,1,1,4,Grassland; Forest,Shrinkable,-,-,-,-,-,-,-,-
Ampharos,9,8,8,12,9,6,Electric,None,7,0,0,0,0,2,3,5,Grassland,Glow,Zapper,-,-,-,-,-,-,-
Anorith,5,10,5,4,5,8,Rock,Bug,4,0,2,0,2,1,1,2,Cave,Gilled,Underdog,-,-,-,-,-,-,-
Arbok,6,9,7,7,8,8,Poison,None,6,0,4,0,0,1,2,3,Grassland,Darkvision,Stealth,-,-,-,-,-,-,-
Arcanine,9,11,8,10,8,10,Fire,None,8,0,4,0,0,2,3,8,Grassland; Mountain,Firestarter,Tracker,Mountable 1,-,-,-,-,-,-
Arceus,12,12,12,12,12,12,Normal,None,9,4,5,0,0,2,2,10,-,Aura Reader,Darkvision,Glow,Invisibility,Telekinetic,Telepath,Mountable 2,-,-
Archen,6,11,5,7,5,7,Rock,Flying,4,6,2,0,0,2,2,2,Mountain,Underdog,-,-,-,-,-,-,-,-
Archeops,8,14,7,11,7,11,Rock,Flying,5,8,3,0,0,3,4,4,Mountain,Mountable 1,-,-,-,-,-,-,-,-
Ariados,7,9,7,6,6,4,Bug,Poison,6,0,3,0,0,2,2,3,Grassland; Forest,Threaded,Wallclimber,Underdog,-,-,-,-,-,-
Armaldo,8,13,10,7,8,5,Rock,Bug,6,0,6,0,0,1,2,6,Cave; Ocean,Gilled,-,-,-,-,-,-,-,-
Aromatisse,10,7,7,10,9,3,Fairy,None,4,6,2,0,0,1,1,2,-,Alluring,-,-,-,-,-,-,-,-
Aron,5,7,10,4,4,3,Steel,Rock,3,0,1,0,0,0,0,5,Cave,Underdog,-,-,-,-,-,-,-,-
Articuno,9,9,10,10,13,9,Ice,Flying,5,10,5,0,0,2,3,7,-,Freezer,Glow,Guster,Mountable 1,-,-,-,-,-
Audino,10,6,9,6,9,5,Normal,None,5,0,2,0,0,1,1,2,-,Underdog,-,-,-,-,-,-,-,-
Aurorus,12,8,7,10,9,6,Rock,Ice,6,0,3,0,0,1,1,8,Tundra,Freezer,Mountable 2,-,-,-,-,-,-,-
Avalugg,10,12,18,4,5,3,Ice,None,6,0,3,0,0,0,1,8,Tundra,Freezer,Mountable 3,-,-,-,-,-,-,-
Axew,5,9,6,3,4,6,Dragon,None,4,0,2,0,0,1,1,3,Cave; Mountain,Underdog,-,-,-,-,-,-,-,-
Azelf,8,13,7,13,7,12,Psychic,None,5,7,4,0,0,1,1,2,-,Aura Reader,Telekinetic,Telepath,-,-,-,-,-,-
Azumarill,10,5,8,5,8,5,Water,Fairy,5,0,5,0,0,1,2,4,Wetlands,Fountain,Underdog,-,-,-,-,-,-,-
Azurill,5,2,4,2,4,2,Normal,Fairy,3,0,3,0,0,1,1,1,Wetlands,Fountain,Underdog,-,-,-,-,-,-,-
Bagon,5,8,6,4,3,5,Dragon,None,4,0,2,0,0,1,1,4,-,Underdog,-,-,-,-,-,-,-,-
Baltoy,4,4,6,4,7,6,Ground,Psychic,1,0,3,4,0,1,1,5,-,Dead Silent,Underdog,Volatile Bomb,-,-,-,-,-,-
Banette,6,12,7,8,6,7,Ghost,None,5,0,0,6,0,1,2,2,-,Darkvision,Dead Silent,Invisibility,Phasing,Stealth,-,-,-,-
Barbaracle,7,11,12,5,9,7,Rock,Water,5,0,5,0,0,2,2,6,-,Gilled,Fountain,-,-,-,-,-,-,-
Barboach,5,5,4,5,4,6,Water,Ground,2,0,4,0,2,2,2,1,Wetlands,Gilled,Fountain,Underdog,-,-,-,-,-,-
Basculin,7,9,7,8,6,10,Water,None,1,0,7,0,0,2,2,3,Ocean,Fountain,-,-,-,-,-,-,-,-
Bastiodon,6,5,17,5,14,3,Rock,Steel,4,0,3,0,0,0,1,8,Mountain; Cave,Mountable 1,-,-,-,-,-,-,-,-
Bayleef,6,6,8,6,8,6,Grass,None,7,0,4,0,0,2,2,3,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
Beartic,10,11,8,7,8,5,Ice,None,6,0,4,0,0,1,1,7,Tundra,Chilled,Freezer,-,-,-,-,-,-,-
Beautifly,6,7,5,10,5,7,Bug,Flying,2,9,2,0,0,1,1,3,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
Beedrill,7,9,4,5,8,8,Bug,Poison,2,8,2,0,0,3,4,4,-,Underdog,-,-,-,-,-,-,-,-
Beheeyem,8,8,8,13,10,4,Psychic,None,3,0,3,6,0,1,1,3,-,Telekinetic,Telepath,-,-,-,-,-,-,-
Beldum,4,6,8,4,6,3,Steel,Psychic,1,0,1,4,0,1,1,5,-,Magnetic,Underdog,-,-,-,-,-,-,-
Bellossom,8,8,9,9,10,5,Grass,None,5,0,3,0,0,1,1,2,Grassland; Forest,Alluring,-,-,-,-,-,-,-,-
Bellsprout,5,8,4,7,3,4,Grass,Poison,4,0,3,0,1,1,1,1,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
Bergmite,6,7,9,3,4,3,Ice,None,4,0,2,0,0,1,1,3,Tundra,Freezer,Underdog,-,-,-,-,-,-,-
Bibarel,8,9,6,6,6,7,Normal,Water,7,0,5,0,0,2,3,3,Grassland; Wetlands,Fountain,Underdog,-,-,-,-,-,-,-
Bidoof,6,5,4,4,4,3,Normal,None,5,0,4,0,0,2,2,1,Grassland; Wetlands,Underdog,-,-,-,-,-,-,-,-
Binacle,4,5,7,4,6,5,Rock,Water,2,0,4,0,0,1,1,2,-,Gilled,Fountain,Underdog,-,-,-,-,-,-
Bisharp,7,13,10,6,7,7,Dark,Steel,7,0,4,0,0,1,2,7,-,Darkvision,Tracker,Stealth,Pack Mon,-,-,-,-,-
Blastoise,8,8,10,9,11,8,Water,None,6,0,9,0,0,1,1,9,Grassland,Fountain,Mountable 1,-,-,-,-,-,-,-
Blaziken,8,12,7,11,7,8,Fire,Fighting,10,0,4,0,0,3,4,7,Grassland,Firestarter,Heater,-,-,-,-,-,-,-
Blissey,26,1,1,8,14,6,Normal,None,6,0,2,0,0,1,1,3,Grassland; Urban,-,-,-,-,-,-,-,-,-
Blitzle,5,6,3,5,3,8,Electric,None,6,0,3,0,0,1,2,4,Grassland,Glow,Zapper,Underdog,-,-,-,-,-,-
Boldore,7,11,11,5,4,2,Rock,None,4,0,3,0,0,0,1,8,Cave; Mountain,Underdog,-,-,-,-,-,-,-,-
Bonsly,5,8,10,1,5,1,Rock,None,3,0,2,0,0,0,1,1,Forest,Underdog,-,-,-,-,-,-,-,-
Bouffalant,10,11,10,4,10,6,Normal,None,7,0,4,0,0,1,1,7,-,Pack Mon,Mountable 1,-,-,-,-,-,-,-
Braixen,6,6,6,9,7,7,Fire,None,6,0,2,0,0,2,2,3,Forest; Grassland,Firestarter,Tracker,Underdog,-,-,-,-,-,-
Braviary,10,12,8,6,8,8,Normal,Flying,4,8,2,0,0,3,3,6,-,-,-,-,-,-,-,-,-,-
Breloom,6,13,8,6,6,7,Grass,Fighting,6,0,3,0,0,1,1,6,Grassland; Forest,Mushroom Harvest,-,-,-,-,-,-,-,-
Bronzong,7,9,12,8,12,3,Steel,Psychic,1,0,3,6,0,1,1,8,-,Dead Silent,-,-,-,-,-,-,-,-
Bronzor,6,2,9,2,9,2,Steel,Psychic,1,0,2,4,0,1,1,4,-,Dead Silent,Underdog,-,-,-,-,-,-,-
Budew,4,3,4,5,7,6,Grass,Poison,4,0,2,0,0,1,1,1,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
Buizel,6,7,4,6,3,9,Water,None,6,0,5,0,0,2,2,2,Ocean; Wetlands,Fountain,Underdog,-,-,-,-,-,-,-
Bulbasaur,5,5,5,7,7,5,Grass,Poison,5,0,3,0,0,0,2,2,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
Buneary,6,7,4,4,6,9,Normal,None,5,0,3,0,0,3,2,1,Grassland,Underdog,-,-,-,-,-,-,-,-
Bunnelby,4,4,4,3,4,6,Normal,None,4,0,2,0,0,1,2,2,Grassland; Mountain,Underdog,-,-,-,-,-,-,-,-
Burmy,4,3,5,3,5,4,Bug,None,3,0,1,0,0,1,1,1,Grassland; Forest,Threaded,Underdog,-,-,-,-,-,-,-
Butterfree,6,5,5,9,8,7,Bug,Flying,3,8,2,0,0,1,1,2,Grassland; Forest,Wallclimber,Threaded,Underdog,-,-,-,-,-,-
Cacnea,5,9,4,9,4,4,Grass,None,4,0,1,0,0,1,1,1,Deser,Underdog,-,-,-,-,-,-,-,-
Cacturne,7,12,6,12,6,6,Grass,Dark,6,0,3,0,0,1,1,5,Desert,Darkvision,Stealth,-,-,-,-,-,-,-
Camerupt,7,10,7,11,8,4,Fire,Ground,5,0,2,0,0,1,1,10,Desert; Mountain,Egg Warmer,Firestarter,Heater,Mountable 1,-,-,-,-,-
Carbink,5,5,15,5,15,5,Rock,Fairy,2,0,2,5,5,0,1,1,-,Materializer,-,-,-,-,-,-,-,-
Carnivine,7,10,7,9,7,5,Grass,None,3,0,2,5,0,1,1,4,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
Carracosta,7,11,13,8,7,3,Water,Rock,5,0,6,0,0,2,2,7,Ocean,Fountain,Mountable 1,-,-,-,-,-,-,-
Carvanha,5,9,2,7,2,7,Water,Dark,1,0,6,0,0,2,2,2,Ocean,Darkvision,Gilled,Fountain,Underdog,-,-,-,-,-
Cascoon,5,4,6,3,3,2,Bug,None,1,0,2,0,0,1,1,1,Grassland; Forest,Threaded,Underdog,-,-,-,-,-,-,-
Castform,7,7,7,7,7,7,Normal,None,0,4,2,0,0,2,2,1,-,Guster,Weathershape,Underdog,-,-,-,-,-,-
Caterpie,5,3,4,2,2,5,Bug,None,5,0,2,0,0,1,1,1,Grassland; Forest,Wallclimber,Threaded,Underdog,-,-,-,-,-,-
Celebi,10,10,10,10,10,10,Psychic,Grass,7,6,4,0,0,2,2,2,Grassland; Forest,Aura Reader,Glow,Sprouter,Telekinetic,Telepath,-,-,-,-
Chandelure,6,6,9,15,9,8,Ghost,Fire,1,0,4,7,0,1,1,3,-,Darkvision,Dead Silent,Phasing,Glow,Invisibility,Firestarter,Heater,Shrinkable,-
Chansey,25,1,1,4,11,5,Normal,None,5,0,2,0,0,1,1,1,Grassland; Urban,-,-,-,-,-,-,-,-,-
Charizard,8,8,8,11,9,10,Fire,Flying,6,8,5,0,0,2,3,8,Mountain,Firestarter,Glow,Heater,Mountable 1,-,-,-,-,-
Charmander,4,5,4,6,5,7,Fire,None,5,0,3,0,0,1,1,2,Mountain,Firestarter,Glow,Underdog,-,-,-,-,-,-
Charmeleon,6,6,6,8,7,8,Fire,None,6,0,4,0,0,1,1,4,Mountain,Firestarter,Glow,Underdog,-,-,-,-,-,-
Chatot,8,7,5,9,4,9,Normal,Flying,2,5,1,0,0,2,2,2,-,Underdog,-,-,-,-,-,-,-,-
Cherrim,7,6,7,9,8,9,Grass,None,4,0,2,0,0,1,1,3,Grassland; Forest,Bloom,-,-,-,-,-,-,-,-
Cherubi,5,4,5,6,5,4,Grass,None,3,0,1,0,0,1,1,1,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
Chesnaught,9,11,12,7,8,6,Grass,Fighting,7,0,4,0,0,2,2,7,Grassland; Forest,-,-,-,-,-,-,-,-,-
Chespin,6,6,7,5,5,4,Grass,None,4,0,2,0,0,1,2,2,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
Chikorita,5,5,7,5,7,5,Grass,None,5,0,3,0,0,1,1,2,Grassland; Forest,Underdog,-,-,-,-,-,-,-,-
